setID,number,name,year,theme,subtheme,pieces,minifigs,availability,packagingType,imageURL,bricksetURL
51848,75447,The Razor Crest,2026,Star Wars,The Mandalorian and Grogu,930,,Retail,Box,https://images.brickset.com/sets/images/75447-1.jpg,https://brickset.com/sets/75447-1
51849,75448,Clone Shock Trooper Mech,2026,Star Wars,Mechs,151,1,Retail,Box,https://images.brickset.com/sets/images/75448-1.jpg,https://brickset.com/sets/75448-1
51850,75449,Siege of Mandalore Battle Pack,2026,Star Wars,The Clone Wars,116,4,Retail,Box,https://images.brickset.com/sets/images/75449-1.jpg,https://brickset.com/sets/75449-1
52540,75451,{?},2026,Star Wars,The Mandalorian and Grogu,415,,Retail,Box,,https://brickset.com/sets/75451-1
51851,75452,BB-8,2026,Star Wars,Episode VII,569,1,Retail,Box,https://images.brickset.com/sets/images/75452-1.jpg,https://brickset.com/sets/75452-1
52673,75453,{?},2026,Star Wars,,,,{Not specified},{Not specified},,https://brickset.com/sets/75453-1
52674,75454,{?},2026,Star Wars,,,,{Not specified},{Not specified},,https://brickset.com/sets/75454-1
52675,75455,{?},2026,Star Wars,,,,{Not specified},{Not specified},,https://brickset.com/sets/75455-1
52676,75456,{?},2026,Star Wars,,,,{Not specified},{Not specified},,https://brickset.com/sets/75456-1
51949,75459,{?},2026,Star Wars,,,,{Not specified},{Not specified},,https://brickset.com/sets/75459-1
51950,75460,New Republic X-wing Starfighter,2026,Star Wars,The Mandalorian and Grogu,558,,Retail,Box,https://images.brickset.com/sets/images/75460-1.jpg,https://brickset.com/sets/75460-1
51951,75461,{?},2026,Star Wars,,,,{Not specified},{Not specified},,https://brickset.com/sets/75461-1
52715,5010305,The Mandalorian and Grogu,2026,Star Wars,Promotional,147,,Retail - limited,Zip-lock bag,https://images.brickset.com/sets/images/5010305-1.jpg,https://brickset.com/sets/5010305-1
52501,6626051,Bantha,2026,Star Wars,Promotional,64,,Promotional,None (loose parts),https://images.brickset.com/sets/images/6626051-1.jpg,https://brickset.com/sets/6626051-1
52400,L0002232,Night Trooper,2026,Star Wars,Magazine Gift,5,1,Magazine gift,Paper bag,https://images.brickset.com/sets/images/L0002232-1.jpg,https://brickset.com/sets/L0002232-1
