SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,MinifigNumbers,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,ModelDimension1,ModelDimension2,ModelDimension3,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"50452","30703","1","2025","Normal","Animal Crossing","Licensed","Promotional","Julian's Beach Painting","X","30703-1","","","","","","","43","1","ani019,","Polybag","LEGO exclusive","6527988","6527987","5702017819853","","17","18","3","0.034","","","","6","","2218","691","3","4","X","4","4.3300","","Patrick Otley,","01/01/2025 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"50388","77053","1","2025","Normal","Animal Crossing","Licensed","","Stargazing with Celeste","X","77053-1","9.99","8.99","12.99","9.99","20/09/2024 00:00:00","04/05/2026 00:00:00","78","1","ani020,","Box","Retail","6526387","6526386","5702017815824","673419404952","14.1","12.2","4.6","","12","6","9","6","","3447","627","3","9","X","0","8.6300","7.2000","","01/01/2025 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"50389","77054","1","2025","Normal","Animal Crossing","Licensed","","Leif's Caravan & Garden Shop","X","77054-1","29.99","24.99","39.99","29.99","20/09/2024 00:00:00","04/05/2026 00:00:00","263","2","ani015,ani016,","Box","Retail","6526390","6526389","5702017815855","673419405096","35.4","19.1","5.9","","19","8","6","7","","1575","800","3","9","X","0","26.2500","23.4000","","01/01/2025 00:00:00","31/07/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"50390","77055","1","2025","Normal","Animal Crossing","Licensed","","Able Sisters Clothing Shop","X","77055-1","39.99","34.99","49.99","39.99","20/09/2024 00:00:00","04/05/2026 00:00:00","322","2","ani017,ani018,","Box","Retail","6526393","6526392","5702017815923","673419405133","26.2","22.2","6.2","","14","27","14","6","","1562","864","3","14","X","0","18.0900","","","01/01/2025 00:00:00","31/07/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51113","77056","1","2025","Normal","Animal Crossing","Licensed","","Blathers's Museum Collection","X","77056-1","79.99","74.99","99.99","79.99","07/05/2025 00:00:00","04/05/2026 00:00:00","543","2","ani021,ani022,","Box","Retail","6526396","6526395","5702017815947","673419405164","38.2","26.2","7.1","","11","25","17","7","","776","973","3","8","X","4","66.1700","","","01/08/2025 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51114","77057","1","2025","Normal","Animal Crossing","Licensed","","Creative Houses: Seasons of Fun","X","77057-1","89.99","79.99","119.99","89.99","07/05/2025 00:00:00","04/05/2026 00:00:00","814","3","ani023,ani024,ani025,","Box","Retail","6526399","6526398","5702017815961","673419405195","54","28.2","7.9","","12","42","11","7","","590","909","15","7","X","0","101.4200","","","01/08/2025 00:00:00","31/07/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51115","77058","1","2025","Normal","Animal Crossing","Licensed","","Goldie's Cosy House","X","77058-1","22.99","17.99","24.99","19.99","07/05/2025 00:00:00","04/05/2026 00:00:00","149","1","ani026,","Box","Retail","6526402","6526401","5702017815985","673419405218","20.5","19.1","4.6","","12","9","7","6","","1117","730","3","3","X","0","15.1700","","Ricardo Silva,","01/08/2025 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"50637","21062","1","2025","Normal","Architecture","Model making","Landmark Series","Trevi Fountain","X","21062-1","159.99","139.99","209.99","159.99","14/01/2025 00:00:00","04/05/2026 00:00:00","1880","3","gen192,gen193,","Box","Retail","6526219","6526218","5702017816753","673419405881","48","37.8","9.4","","25","38","18","18","","1844","1805","7","9","X","0","148.7200","74.2200","Rok Zgalin Kobe,","01/03/2025 00:00:00","31/12/2028 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51108","21063","1","2025","Normal","Architecture","Model making","Landmark Series","Neuschwanstein Castle","X","21063-1","279.99","239.99","349.99","269.99","01/07/2025 00:00:00","04/05/2026 00:00:00","3455","","","Box","Retail","6526221","6526220","5702017816760","673419405898","55.5","37.8","13.2","","31","46","20","18","","1851","2297","7","14","X","0","250.4300","181.9400","Rok Zgalin Kobe,","01/08/2025 00:00:00","31/12/2028 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51616","21068","1","2025","Normal","Architecture","Model making","Skylines","Shanghai","X","21068-1","","","","","","","597","","","Box","Retail","","","","","26.2","19.1","7.2","","","","","12","","118","346","1","0","X","0","129.1100","","","01/08/2025 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"50638","31214","1","2025","Normal","Art","Art and crafts","Pop Art","LOVE","X","31214-1","79.99","69.99","99.99","79.99","12/11/2024 00:00:00","04/05/2026 00:00:00","791","","","Box","Retail","6526223","6526222","5702017814698","673419404273","26.2","38.2","11.8","","25","25","6","18","","2392","758","9","8","X","0","63.4100","35.4600","","01/01/2025 00:00:00","31/07/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"50639","31215","1","2025","Normal","Art","Art and crafts","Paintings","Vincent van Gogh – Sunflowers","X","31215-1","199.99","169.99","259.99","199.99","29/01/2025 00:00:00","04/05/2026 00:00:00","2615","","","Box","LEGO exclusive","6529092","6529091","5702017823126","673419407267","37.8","55.5","13.2","","54","41","5","18","","2145","1614","7","9","X","0","160.0100","141.8200","","01/03/2025 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51105","31216","1","2025","Normal","Art","Art and crafts","Pop Art","Keith Haring - Dancing Figures","X","31216-1","119.99","104.99","149.99","119.99","25/04/2025 00:00:00","04/05/2026 00:00:00","1773","","","Box","Retail","6526225","6526224","5702017814445","673419404280","54","28.2","11.8","","33","87","4","18","","1022","839","15","9","X","5","118.9300","85.5000","Milan Madge,","15/05/2025 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51106","31217","1","2025","Normal","Art","Art and crafts","The Fauna Collection","Tiger","X","31217-1","64.99","54.99","79.99","59.99","23/04/2025 00:00:00","04/05/2026 00:00:00","744","","","Box","Retail","6526227","6526226","5702017814452","673419404297","38.2","26.2","7.1","0.915","20","31","6","18","","611","539","7","10","X","0","54.3300","","","01/06/2025 00:00:00","31/07/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51011","11201","1","2025","Normal","Bluey","Licensed","","Playground Fun with Bluey and Chloe","X","11201-1","19.99","17.99","24.99","19.99","02/03/2025 00:00:00","04/05/2026 00:00:00","104","2","blu005,blu006,","Box","Retail","6526209","6526208","5702017813424","673419404051","20.5","19.1","7.3","0.318","14","23","17","4","","599","274","4","10","X","0","19.9100","10.5700","","01/06/2025 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51012","11202","1","2025","Normal","Bluey","Licensed","","Bluey's Beach & Family Car Trip","X","11202-1","29.99","24.99","39.99","29.99","02/03/2025 00:00:00","04/05/2026 00:00:00","133","3","blu001,blu002,blu007,","Box","Retail","6526211","6526210","5702017813431","673419404068","26.2","19.1","6.1","0.369","11","8","5","4","","726","317","6","11","X","0","27.5600","19.8100","","01/06/2025 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51013","11203","1","2025","Normal","Bluey","Licensed","","Bluey's Family House","X","11203-1","69.99","59.99","89.99","69.99","02/03/2025 00:00:00","04/05/2026 00:00:00","382","4","blu001,blu002,blu003,blu004,","Box","Retail","6526213","6526212","5702017813448","673419404075","45.6","28.2","7.2","","21","20","13","4","","648","355","12","10","X","0","63.8300","59.9900","","01/06/2025 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51014","30687","1","2025","Normal","Bluey","Licensed","Promotional","Bluey Tea Party","X","30687-1","4.99","3.49","","3.99","","","33","1","blu005,","Paper bag","Retail - limited","6527956","6527955","5702017819075","673419406697","17","18","3","0.04","","","","4","","1604","329","2","3","X","0","4.1900","2.6300","","01/06/2025 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51918","5009578","1","2025","Extended","Bluey","Licensed","Promotional","Duck Cake","X","6601204-1","","","","","","","32","","","Zip-lock bag","Promotional","6601204","","","673419421508","","","","","","","","","","59","78","0","0","X","0","","","","","","","","0","0","0","0","0","","","","","","","","",""
"52008","5007567","1","2025","Book","Books","Miscellaneous","Buster Books","LEGO Build Christmas Fun!","X","5007567-1","9.99","","","","04/09/2025 00:00:00","26/02/2026 00:00:00","45","","","{Not specified}","Retail","6443406","","9780794448165","","","","","","","","","5","","19","24","0","3","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"51353","5009141","1","2025","Book","Books","Miscellaneous","","The Force of Creativity – Standard Edition","X","5009141-1","69.99","59.99","","69.99","01/05/2025 00:00:00","04/05/2026 00:00:00","","","","{Not specified}","{Not specified}","6562988","6562988","9788325345464","","30.5","26","3.8","2.81","","","","18","","91","91","0","1","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"51231","5009385","1","2025","Book","Books","Miscellaneous","Buster Books","LEGO Easter Build and Play!","X","5009385-1","9.99","","","","28/02/2025 00:00:00","17/02/2026 00:00:00","43","","","{Not specified}","Retail","6582557","","9780794453343","","","","","","","","","6","","22","33","0","5","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"51260","5009386","1","2025","Book","Books","Miscellaneous","","Mandalorian Warriors","X","5009386-1","8.99","","","","17/03/2025 00:00:00","27/04/2026 00:00:00","","","","{Not specified}","{Not specified}","6582558","","9780794453701","","","","","","","","","","","160","101","0","6","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"51259","5009387","1","2025","Book","Books","Miscellaneous","","Master Yoda","X","5009387-1","8.99","","","","16/03/2025 00:00:00","10/01/2026 00:00:00","","","","{Not specified}","{Not specified}","6582559","","9780794453718","","","","","","","","","","","136","92","0","8","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"51431","5009467","1","2025","Book","Books","Miscellaneous","Klutz","Gravity Drop","X","5009467-1","29.99","","","","24/05/2025 00:00:00","26/02/2026 00:00:00","168","","","{Not specified}","{Not specified}","6593422","","9781339019123","","","","","","","","","8","","24","33","0","6","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"50927","BLOCKS123","1","2025","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 123","X","BLOCKS123-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","86","32","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"51161","BLOCKS124","1","2025","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 124","X","BLOCKS124-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","82","29","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"51236","BLOCKS125","1","2025","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 125","X","BLOCKS125-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","85","24","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"51270","BLOCKS126","1","2025","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 126","X","BLOCKS126-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","79","23","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"51339","BLOCKS127","1","2025","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 127","X","BLOCKS127-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","74","26","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"51448","BLOCKS128","1","2025","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 128","X","BLOCKS128-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","72","18","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"51504","BLOCKS129","1","2025","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 129","X","BLOCKS129-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","67","16","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"51594","BLOCKS130","1","2025","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 130","X","BLOCKS130-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","67","14","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"51976","BLOCKS131","1","2025","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 131","X","BLOCKS131-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","60","13","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"52120","BLOCKS132","1","2025","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 132","X","BLOCKS132-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","61","13","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"52172","BLOCKS133","1","2025","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 133","X","BLOCKS133-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","60","14","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"52297","BLOCKS134","1","2025","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 134","X","BLOCKS134-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","52","12","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"52318","BLOCKS135","1","2025","Book","Books","Miscellaneous","Magazines/Blocks","Blocks magazine issue 135","X","BLOCKS135-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","43","12","0","0","X","0","","","","","","","","0","0","0","0","0","","","","","","","","",""
"52264","BLOCKSBOOK3","1","2025","Book","Books","Miscellaneous","Magazines/Blocks","Blocks Book of Retro LEGO Sets volume 3","X","BLOCKSBOOK3-1","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","37","16","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"50929","BRICKJOURNAL088","1","2025","Book","Books","Miscellaneous","Magazines/BrickJournal","BrickJournal Issue 88","X","BRICKJOURNAL088-1","10.95","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","15","30","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"50930","BRICKJOURNAL089","1","2025","Book","Books","Miscellaneous","Magazines/BrickJournal","BrickJournal Issue 89","X","BRICKJOURNAL089-1","10.95","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","15","26","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"50931","BRICKJOURNAL090","1","2025","Book","Books","Miscellaneous","Magazines/BrickJournal","BrickJournal Issue 90","X","BRICKJOURNAL090-1","10.95","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","15","28","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"52122","BRICKJOURNAL091","1","2025","Book","Books","Miscellaneous","Magazines/BrickJournal","BrickJournal Issue 91","X","BRICKJOURNAL091-1","10.95","","","","","","","","","{Not specified}","Retail - limited","","","","","","","","","","","","","","11","14","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"52394","ISBN9780241706008","1","2025","Book","Books","Miscellaneous","Dorling Kindersley","LEGO Easter Ideas","X","ISBN9780241706008-1","16.99","10.99","","13.99","","","25","","","{Not specified}","Retail - limited","","","9780241706008","","15.3","21.5","2.3","0.33","","","","7","","5","18","0","1","X","0","","","","02/01/2025 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"50945","ISBN9780241712306","1","2025","Book","Books","Miscellaneous","Dorling Kindersley","LEGO NINJAGO: Dragons Rising Adventure Atlas","X","ISBN9780241712306-1","19.99","14.99","","17.99","","","8","","","{Not specified}","Retail","","","","","19.8","26.1","","","","","","7","","36","109","0","0","X","0","","","","05/06/2025 00:00:00","","X","","1","1","0","0","1","","","","","","","","",""
"50532","ISBN9780241712412","1","2025","Book","Books","Miscellaneous","Dorling Kindersley","LEGO Star Wars: Character Encyclopedia, Updated Edition","X","ISBN9780241712412-1","21.99","16.99","","19.99","","","8","1","sw1405,","{Not specified}","Retail","","","","","18.7","23.7","4","","","","","6","","1161","524","0","0","X","0","","","","17/04/2025 00:00:00","","X","","1","1","0","0","1","","","","","","","","",""
"52393","ISBN9780241712467","1","2025","Book","Books","Miscellaneous","Dorling Kindersley","LEGO DreamZzz: World Builder","X","ISBN9780241712467-1","","24.99","","","","","136","","","{Not specified}","Retail - limited","","","","","22.2","28.2","3.8","","","","","7","","5","19","0","1","X","5","","","","19/08/2025 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"50947","ISBN9780241716540","1","2025","Book","Books","Miscellaneous","Dorling Kindersley","LEGO Marvel Spider-Man: Explore the Spider-Verse","X","ISBN9780241716540-1","16.99","12.99","","15.99","","","3","1","sh1053 ,","{Not specified}","Retail","","","","","18.7","23.8","2.3","0.788","","","","7","9","441","243","0","6","X","0","","","","05/06/2025 00:00:00","","X","","1","1","0","0","1","","","","","","","","",""
"51199","ISBN9780241719336","1","2025","Book","Books","Miscellaneous","Dorling Kindersley","LEGO Minecraft Games Book: 50 Fun Ideas to Play with Your LEGO Collection!","X","ISBN9780241719336-1","19.99","16.99","","19.99","","","61","","","{Not specified}","Retail","","","9780241719336","","18.6","23.9","","","","","","6","","25","53","0","8","X","0","","","","03/07/2025 00:00:00","","X","","1","1","0","0","1","","","","","","","","",""
