SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,MinifigNumbers,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,ModelDimension1,ModelDimension2,ModelDimension3,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"51688","31377","1","2026","Normal","Creator","Model making","3 in 1","Turtle with a Water Lily","X","31377-1","9.99","8.99","12.99","9.99","03/12/2025 00:00:00","04/05/2026 00:00:00","124","","","Box","Retail","6581019","6581018","5702018033203","673419419307","15.7","14.1","4.5","0.179","10","4","6","7","","1026","496","6","10","X","0","12.3900","5.0000","","01/01/2026 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51689","31378","1","2026","Normal","Creator","Model making","3 in 1","Space Exploration Telescope","X","31378-1","34.99","29.99","44.99","34.99","03/12/2025 00:00:00","04/05/2026 00:00:00","278","","","Box","Retail","6585549","6585548","5702018054727","673419421461","22.2","26.2","6.2","0.478","27","12","19","8","","483","878","6","12","X","0","34.9300","23.0000","Gregoire Germain,","01/01/2026 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51690","31379","1","2026","Normal","Creator","Model making","3 in 1","Fierce Dinosaur","X","31379-1","19.99","19.99","24.99","24.99","03/12/2025 00:00:00","04/05/2026 00:00:00","283","","","Box","Retail","6581021","6581020","5702018033210","673419419314","26.2","19.1","4.6","0.402","","","","8","","269","339","6","12","X","0","9.8300","","","01/01/2026 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51691","31380","1","2026","Normal","Creator","Model making","3 in 1","Retro Gaming Console","X","31380-1","19.99","17.99","24.99","19.99","03/12/2025 00:00:00","04/05/2026 00:00:00","268","","","Box","Retail","6585551","6585550","5702018054734","673419421478","26.2","19.1","4.6","0.401","12","8","4","8","","453","400","6","12","X","0","14.4900","","","01/01/2026 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51692","31381","1","2026","Normal","Creator","Model making","3 in 1","Fierce Shark with a Treasure Chest","X","31381-1","34.99","29.99","44.99","34.99","03/12/2025 00:00:00","04/05/2026 00:00:00","379","","","Box","Retail","6585553","6585552","5702018054741","673419421485","26.2","19.1","6.1","0.53","26","11","8","8","","400","602","6","10","X","0","24.5500","18.0000","","01/01/2026 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51693","31382","1","2026","Normal","Creator","Model making","3 in 1","Playful Puppy","X","31382-1","29.99","24.99","39.99","29.99","03/12/2025 00:00:00","04/05/2026 00:00:00","336","","","Box","Retail","6585555","6585554","5702018054758","673419421553","26.2","19.1","6.1","0.493","13","17","9","8","","516","366","6","10","X","0","19.4500","23.0000","","01/01/2026 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"52622","31383","1","2026","Normal","Creator","Model making","3 in 1","Floral Décor Perfume Bottle","X","31383-1","29.99","24.99","42.99","29.99","03/05/2026 00:00:00","04/05/2026 00:00:00","286","","","Box","Retail","6585557","6585556","5702018054765","673419421560","","","","","","","","8","","3","129","0","10","X","0","","","","01/06/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"51694","31384","1","2026","Normal","Creator","Model making","3 in 1","Colourful Hummingbird","X","31384-1","29.99","24.99","39.99","29.99","03/12/2025 00:00:00","04/05/2026 00:00:00","312","","","Box","Retail","6585559","6585558","5702018054789","673419421577","26.2","19.1","6.1","0.42","16","19","16","8","","782","612","6","12","X","0","18.0200","15.0000","","01/01/2026 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51695","31385","1","2026","Normal","Creator","Model making","3 in 1","Beautiful Dolphins","X","31385-1","49.99","44.99","64.99","49.99","03/12/2025 00:00:00","04/05/2026 00:00:00","542","","","Box","Retail","6585561","6585560","5702018054796","673419421584","28.2","26.2","5.9","0.722","25","20","7","9","","392","730","6","11","X","0","","28.0000","","01/01/2026 00:00:00","31/07/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"52623","31386","1","2026","Normal","Creator","Model making","3 in 1","Wild Animals: Majestic Lion","X","31386-1","69.99","59.99","99.99","64.99","03/05/2026 00:00:00","04/05/2026 00:00:00","839","","","Box","Retail","6585563","6585562","5702018054802","673419421591","","","","","","","","9","","4","266","0","9","X","0","","","Aaron Newman,","01/06/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"52624","31387","1","2026","Normal","Creator","Model making","3 in 1","Iconic Pirate Ship","X","31387-1","109.99","89.99","154.99","99.99","03/05/2026 00:00:00","04/05/2026 00:00:00","1074","","","Box","Retail","6585565","6585564","5702018054819","673419421607","","","","","","","","9","","6","514","0","19","X","0","","","","01/06/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"52739","31388","1","2026","Normal","Creator","Model making","3 in 1","Wild Animals: Family of Koalas","X","31388-1","129.99","99.99","179.99","119.99","03/05/2026 00:00:00","04/05/2026 00:00:00","1536","","","Box","Retail","6590153","6589923","5702018066959","673419424288","","","","","","","","9","","3","230","0","15","X","0","","","","01/06/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"52625","31389","1","2026","Normal","Creator","Model making","3 in 1","Iconic Ferris Wheel","X","31389-1","99.99","79.99","139.99","89.99","03/05/2026 00:00:00","04/05/2026 00:00:00","916","","","Box","Retail","6585567","6585566","5702018054826","673419421614","","","","","","","","8","","5","240","0","15","X","0","","","","01/06/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"52626","31390","1","2026","Normal","Creator","Model making","3 in 1","Floral Art Painting","X","31390-1","29.99","24.99","42.99","29.99","03/05/2026 00:00:00","04/05/2026 00:00:00","348","","","Box","Retail","6585569","6585568","5702018054833","673419421621","","","","","","","","8","","2","89","0","16","X","0","","","","01/06/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"52627","31391","1","2026","Normal","Creator","Model making","3 in 1","Fashion Bag with Storage","X","31391-1","29.99","24.99","42.99","29.99","03/05/2026 00:00:00","04/05/2026 00:00:00","272","","","Box","Retail","6585571","6585570","5702018054840","673419421638","","","","","","","","8","","2","61","0","18","X","0","","","","01/06/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"52628","31392","1","2026","Normal","Creator","Model making","3 in 1","Music Décor Piano","X","31392-1","49.99","34.99","69.99","39.99","03/05/2026 00:00:00","04/05/2026 00:00:00","485","","","Box","Retail","6585573","6585572","5702018054857","673419421645","","","","","","","","9","","2","100","0","15","X","0","","","","01/06/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"52740","31393","1","2026","Normal","Creator","Model making","3 in 1","Forest Animals: Grey Wolf","X","31393-1","49.99","44.99","69.99","49.99","03/05/2026 00:00:00","04/05/2026 00:00:00","657","","","Box","Retail","6590196","6590195","5702018060957","673419423410","","","","","","","","8","","3","238","0","17","X","0","","","Aaron Newman,","01/06/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"52738","31394","1","2026","Normal","Creator","Model making","3 in 1","{?}","","","29.99","","","29.99","","","297","","","Box","Retail","","","","","","","","","","","","8","","1","19","0","0","","0","","","","01/06/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"52455","40885","1","2026","Normal","Creator","Model making","Promotional","Duck Family","X","40885-1","","","","","","","262","","","Box","LEGO exclusive","6591745","6591742","5702018074046","673419426718","20.5","19.1","6.1","0.311","12","12","5","6","","1174","369","4","6","X","0","21.0200","","Daniel Molinaro,","16/02/2026 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"52425","40953","1","2026","Normal","Creator","Model making","Miscellaneous","London Bus","X","40953-1","19.99","17.99","24.99","19.99","31/01/2026 00:00:00","04/05/2026 00:00:00","245","","","Box","Retail","6590903","6590902","5702018071168","673419425797","26.2","14.1","7.2","0.37","15","8","5","8","","242","437","2","10","X","0","","","","01/03/2026 00:00:00","31/12/2028 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"52424","40954","1","2026","Normal","Creator","Model making","Postcard","Germany Postcard","X","40954-1","14.99","12.99","19.99","14.99","03/03/2026 00:00:00","04/05/2026 00:00:00","240","","","Box","LEGO exclusive","6590905","6590904","5702018071175","673419425803","19.1","14.1","7.1","","","","","9","","339","494","2","7","X","0","","","","01/04/2026 00:00:00","31/12/2028 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51898","30726","1","2026","Normal","DC Comics Super Heroes","Licensed","Batman","Bruce Wayne and the Batsuit","X","30726-1","","","","3.99","","","35","2","sh1114,sh1115,","Paper bag","Retail - limited","6587024","6587023","5702018058107","","17","18","3","","","","","7","","1954","862","2","0","X","4","5.2500","3.7600","Rachael Easton,","01/02/2026 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51855","76330","1","2026","Normal","DC Comics Super Heroes","Licensed","Batman","Batman Logo","X","76330-1","79.99","69.99","99.99","79.99","10/10/2025 00:00:00","04/05/2026 00:00:00","678","2","sh1123,sh1124,","Box","Retail","6588650","6588649","5702018063132","673419422512","","","","","23","36","9","12","","772","1346","2","5","X","0","83.0500","","","01/03/2026 00:00:00","31/07/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51856","76331","1","2026","Normal","DC Comics Super Heroes","Licensed","Legendary Batmobile Collection","Batman v Superman Batmobile","X","76331-1","29.99","24.99","39.99","29.99","10/10/2025 00:00:00","04/05/2026 00:00:00","220","1","sh1122,","Box","Retail","6588652","6588651","5702018063149","673419422529","26.2","19.1","4.6","","18","10","5","9","","1193","1544","2","6","X","0","27.7600","23.0000","Adam Grabowski,","01/03/2026 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51857","76332","1","2026","Normal","DC Comics Super Heroes","Licensed","Legendary Batmobile Collection","The Batman Batmobile","X","76332-1","29.99","24.99","39.99","29.99","10/10/2025 00:00:00","04/05/2026 00:00:00","330","1","sh1121,","Box","Retail","6588654","6588653","5702018063156","673419422536","26.2","19.1","7.2","","18","5","8","9","","1147","1646","2","6","X","4","28.3000","","","01/03/2026 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"52046","76333","1","2026","Normal","DC Comics Super Heroes","Licensed","Legendary Batmobile Collection","Batman & Robin Batmobile","X","76333-1","29.99","24.99","39.99","29.99","10/10/2025 00:00:00","04/05/2026 00:00:00","272","1","sh1119,","Box","LEGO exclusive","6588656","6588655","5702018063163","673419422543","26.2","19.1","6.1","","23","6","7","9","","875","1516","2","6","X","0","33.2500","","","01/03/2026 00:00:00","31/07/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"52359","L0002270","1","2026","Other","DC Comics Super Heroes","Licensed","Magazine Gift","Mr. Freeze with Snowman","X","L0002270-1","","","","","","","12","1","sh1082,","Paper bag","Magazine gift","","","","","12","15","2","0.013","","","","6","","288","229","0","0","X","0","6.8300","","","06/02/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"51696","30720","1","2026","Normal","Disney","Licensed","Disney Princess","Ariel & Flounder's Birthday Music Fun","X","30720-1","","","","3.99","","","39","1","dp227,","Paper bag","Retail - limited","6587012","6587011","5702018058954","","17","18","3","0.031","","","","5","","388","173","2","0","X","0","4.1200","4.4500","","01/01/2026 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51697","40857","1","2026","Normal","Disney","Licensed","","{?}","","","","","","","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","5","65","0","0","","0","","","","","","","","0","0","0","0","0","","","","","","","","",""
"52572","43002","1","2026","Normal","Disney","Licensed","Disney Parks","{?}","","","399.99","","","","","","3899","","","Box","LEGO exclusive","","","","","","","","","","","","18","","4","86","0","0","","0","","","","01/06/2026 00:00:00","","","","0","0","0","0","0","","","","","","","","",""
"51978","43280","1","2026","Normal","Disney","Licensed","","Beach Fun with Lilo & Stitch","X","43280-1","19.99","17.99","27.99","19.99","03/05/2026 00:00:00","04/05/2026 00:00:00","113","","","Box","{Not specified}","6589926","6590186","5702018067031","673419424325","","","","","","","","","","5","75","0","11","X","0","","","","","","","","0","0","0","0","0","","","","","","","","",""
"51698","43281","1","2026","Normal","Disney","Licensed","Frozen","Elsa's Ice Castle & Snow Ride Adventure","X","43281-1","49.99","44.99","64.99","49.99","03/12/2025 00:00:00","04/05/2026 00:00:00","216","6","dp207,dp238,dp239,dp240,","Box","Retail","6589946","6589945","5702018066720","673419424066","28.2","26.2","5.9","","21","28","27","4","","55","125","8","9","X","0","48.4000","","","01/01/2026 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51980","43282","1","2026","Normal","Disney","Licensed","Moana","Village House & Boat","X","43282-1","19.99","17.99","27.99","19.99","03/05/2026 00:00:00","04/05/2026 00:00:00","85","","","Box","{Not specified}","6589948","6589947","5702018066744","673419424073","","","","","","","","","","4","62","0","11","X","0","","","","","","","","0","0","0","0","0","","","","","","","","",""
"51981","43283","1","2026","Normal","Disney","Licensed","","Cinderella Animal Friends Castle","X","43283-1","29.99","24.99","42.99","29.99","03/05/2026 00:00:00","04/05/2026 00:00:00","149","","","Box","{Not specified}","6591250","6591181","5702018071007","673419425537","","","","","","","","","","4","59","0","11","X","0","","","","","","","","0","0","0","0","0","","","","","","","","",""
"51699","43284","1","2026","Normal","Disney","Licensed","Mini Disney Princess","Mini Anna & Elsa","X","43284-1","9.99","8.99","12.99","9.99","03/12/2025 00:00:00","04/05/2026 00:00:00","65","","","Box","Retail","6589957","6589956","5702018066751","673419424080","14.1","12.2","4.6","","5","4","3","5","","112","57","4","9","X","0","","","","01/01/2026 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
