title,video_id,url
LEGO Instructions - Icons - 40891 - Stranger Things: WSQK Radio Station - Stranger Things,MDGzZCctJX4,https://www.youtube.com/watch?v=MDGzZCctJX4
LEGO Instructions - Icons - 40913 - Vintage Parade Car - Promotional,qbW5mnTNqm4,https://www.youtube.com/watch?v=qbW5mnTNqm4
LEGO Instructions - Ninjago - 30723 - Cole's Car - Rise of the Snakes,DSyI9KVSUIc,https://www.youtube.com/watch?v=DSyI9KVSUIc
LEGO Instructions - Ninjago - 71849 - Nya vs. Mutation Monster Spinner - Monster Spinners,akbsGNgfzZE,https://www.youtube.com/watch?v=akbsGNgfzZE
LEGO Instructions - Ninjago - 71850 - Lloyd vs. Earth Monster Spinner - Monster Spinners,eBH4O0wbqd0,https://www.youtube.com/watch?v=eBH4O0wbqd0
LEGO Instructions - Ninjago - 71854 - Cole's Mission Mech - Dragons Rising Season 4,nSMkjCr1KFA,https://www.youtube.com/watch?v=nSMkjCr1KFA
LEGO Instructions - Ninjago - 71855 - Ninja Dragon Riyu's Battle - Dragons Rising Season 4,MhXXEv6pxqo,https://www.youtube.com/watch?v=MhXXEv6pxqo
LEGO Instructions - Ninjago - 71856 - Jay's Transforming Car - Dragons Rising Season 4,0MO2sMgpJGQ,https://www.youtube.com/watch?v=0MO2sMgpJGQ
LEGO Instructions - Ninjago - 71858 - Four Weapons Blacksmith - Pilot Season,o__CRaha1yA,https://www.youtube.com/watch?v=o__CRaha1yA
LEGO Instructions - Ninjago - 71859 - The Dragon of Life - Dragons Rising Season 4 (Book 1),MSuS4pIOAaE,https://www.youtube.com/watch?v=MSuS4pIOAaE
LEGO Instructions - Ninjago - 71859 - The Dragon of Life - Dragons Rising Season 4 (Book 2),Rn9lB3rZnGk,https://www.youtube.com/watch?v=Rn9lB3rZnGk
LEGO Instructions - Ninjago - 71859 - The Dragon of Life - Dragons Rising Season 4 (All Books),SEz6lnwZMnQ,https://www.youtube.com/watch?v=SEz6lnwZMnQ
